INFO   | jvm 1    | 2020/11/19 12:47:45 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 12:47:45 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 12:47:45 | 
INFO   | jvm 1    | 2020/11/19 12:47:47 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2020/11/19 12:50:13 | INT trapped.  Shutting down.
STATUS | wrapper  | 2020/11/19 12:50:14 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/11/19 12:50:15 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/11/19 12:50:15 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 12:50:15 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2020/11/19 12:50:16 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 12:50:16 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 12:50:16 | 
INFO   | jvm 1    | 2020/11/19 12:50:17 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2020/11/19 13:00:22 | INT trapped.  Shutting down.
STATUS | wrapper  | 2020/11/19 13:00:23 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/11/19 13:00:24 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/11/19 13:00:24 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 13:00:24 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2020/11/19 13:00:25 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 13:00:25 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 13:00:25 | 
